date,Chelsea Football Club,isPartial
2016-02-27 22:56:00,16,False
2016-03-01 01:04:00,8,False
2016-03-01 01:12:00,10,False
2016-03-01 01:20:00,3,False
2016-03-01 01:28:00,12,False
2016-03-01 01:36:00,6,False
2016-03-01 01:44:00,3,False
2016-03-01 01:52:00,3,False
2016-03-01 02:00:00,14,False
2016-03-01 02:08:00,8,False
2016-03-01 02:16:00,12,False
2016-03-01 02:24:00,7,False
2016-03-01 02:32:00,8,False
2016-03-01 02:40:00,10,False
2016-03-01 02:48:00,9,False
2016-03-01 02:56:00,8,False
2016-03-01 03:04:00,5,False
2016-03-01 03:12:00,11,False
2016-03-01 03:20:00,9,False
2016-03-01 03:28:00,2,False
2016-03-01 03:36:00,10,False
2016-03-01 03:44:00,6,False
2016-03-01 03:52:00,12,False
2016-03-01 04:00:00,4,False
2016-03-01 04:08:00,9,False
2016-03-01 04:16:00,14,False
2016-03-01 04:24:00,1,False
2016-03-01 04:32:00,5,False
2016-03-01 04:40:00,5,False
2016-03-01 04:48:00,1,False
2016-03-01 04:56:00,4,False
2016-03-01 05:04:00,9,False
2016-03-01 05:12:00,5,False
2016-03-01 05:20:00,4,False
2016-03-01 05:28:00,4,False
2016-03-01 05:36:00,5,False
2016-03-01 05:44:00,5,False
2016-03-01 05:52:00,6,False
2016-03-01 06:00:00,17,False
2016-03-01 06:08:00,7,False
2016-03-01 06:16:00,10,False
2016-03-01 06:24:00,5,False
2016-03-01 06:32:00,6,False
2016-03-01 06:40:00,9,False
2016-03-01 06:48:00,8,False
2016-03-01 06:56:00,8,False
2016-03-01 07:04:00,9,False
2016-03-01 07:12:00,3,False
2016-03-01 07:20:00,5,False
2016-03-01 07:28:00,4,False
2016-03-01 07:36:00,4,False
2016-03-01 07:44:00,8,False
2016-03-01 07:52:00,6,False
2016-03-01 08:00:00,5,False
2016-03-01 08:08:00,10,False
2016-03-01 08:16:00,6,False
2016-03-01 08:24:00,9,False
2016-03-01 08:32:00,6,False
2016-03-01 08:40:00,9,False
2016-03-01 08:48:00,6,False
2016-03-01 08:56:00,9,False
2016-03-01 09:04:00,14,False
2016-03-01 09:12:00,9,False
2016-03-01 09:20:00,5,False
2016-03-01 09:28:00,4,False
2016-03-01 09:36:00,12,False
2016-03-01 09:44:00,11,False
2016-03-01 09:52:00,8,False
2016-03-01 10:00:00,9,False
2016-03-01 10:08:00,9,False
2016-03-01 10:16:00,6,False
2016-03-01 10:24:00,6,False
2016-03-01 10:32:00,8,False
2016-03-01 10:40:00,4,False
2016-03-01 10:48:00,12,False
2016-03-01 10:56:00,8,False
2016-03-01 11:04:00,11,False
2016-03-01 11:12:00,13,False
2016-03-01 11:20:00,6,False
2016-03-01 11:28:00,9,False
2016-03-01 11:36:00,5,False
2016-03-01 11:44:00,9,False
2016-03-01 11:52:00,8,False
2016-03-01 12:00:00,6,False
2016-03-01 12:08:00,5,False
2016-03-01 12:16:00,10,False
2016-03-01 12:24:00,7,False
2016-03-01 12:32:00,8,False
2016-03-01 12:40:00,9,False
2016-03-01 12:48:00,6,False
2016-03-01 12:56:00,9,False
2016-03-01 13:04:00,8,False
2016-03-01 13:12:00,9,False
2016-03-01 13:20:00,7,False
2016-03-01 13:28:00,11,False
2016-03-01 13:36:00,9,False
