date,Liverpool Football Club,Liverpool,isPartial
2015-09-12 17:36:00,0,80,False
2015-09-12 17:44:00,0,75,False
2015-09-12 17:52:00,0,75,False
2015-09-12 18:00:00,0,78,False
2015-09-12 18:08:00,0,78,False
2015-09-12 18:16:00,0,85,False
2015-09-12 18:24:00,0,82,False
2015-09-12 18:32:00,0,65,False
2015-09-12 18:40:00,0,57,False
2015-09-12 18:48:00,0,49,False
2015-09-12 18:56:00,0,45,False
2015-09-12 19:04:00,0,40,False
2015-09-12 19:12:00,0,40,False
2015-09-12 19:20:00,0,36,False
2015-09-12 19:28:00,0,34,False
2015-09-12 19:36:00,0,32,False
2015-09-12 19:44:00,0,33,False
2015-09-12 19:52:00,0,31,False
2015-09-12 20:00:00,0,31,False
2015-09-12 20:08:00,0,28,False
2015-09-12 20:16:00,0,28,False
2015-09-12 20:24:00,0,28,False
2015-09-12 20:32:00,0,28,False
2015-09-12 20:40:00,0,26,False
2015-09-12 20:48:00,0,27,False
2015-09-12 20:56:00,0,25,False
2015-09-20 14:00:00,0,42,False
2015-09-20 14:08:00,0,44,False
2015-09-20 14:16:00,0,44,False
2015-09-20 14:24:00,0,49,False
2015-09-20 14:32:00,0,53,False
2015-09-20 14:40:00,0,61,False
2015-09-20 14:48:00,0,73,False
2015-09-20 14:56:00,0,100,False
2015-09-20 15:04:00,0,97,False
2015-09-20 15:12:00,0,82,False
2015-09-20 15:20:00,0,77,False
2015-09-20 15:28:00,0,72,False
2015-09-20 15:36:00,0,68,False
2015-09-20 15:44:00,0,67,False
2015-09-20 15:52:00,0,61,False
2015-09-20 16:00:00,0,67,False
2015-09-20 16:08:00,0,77,False
2015-09-20 16:16:00,0,71,False
2015-09-20 16:24:00,0,71,False
2015-09-20 16:32:00,0,72,False
2015-09-20 16:40:00,0,67,False
2015-09-20 16:48:00,0,75,False
2015-09-20 16:56:00,0,68,False
2015-09-20 17:04:00,0,55,False
2015-09-20 17:12:00,0,49,False
2015-09-20 17:20:00,0,46,False
2015-09-20 17:28:00,0,42,False
2015-09-20 17:36:00,0,40,False
2015-09-20 17:44:00,0,37,False
2015-09-20 17:52:00,0,36,False
2015-09-20 18:00:00,0,33,False
2015-09-20 18:08:00,0,32,False
2015-09-20 18:16:00,0,34,False
2015-09-20 18:24:00,0,32,False
2015-09-20 18:32:00,0,31,False
2015-09-20 18:40:00,0,29,False
2015-09-20 18:48:00,0,30,False
2015-09-20 18:56:00,0,30,False
2015-09-20 19:04:00,0,31,False
2015-09-20 19:12:00,0,29,False
2015-09-20 19:20:00,0,30,False
2015-09-20 19:28:00,0,32,False
2015-09-20 19:36:00,0,27,False
2015-09-20 19:44:00,0,29,False
2015-09-20 19:52:00,0,29,False
2015-09-20 20:00:00,0,29,False
2015-09-26 13:04:00,0,39,False
2015-09-26 13:12:00,0,40,False
2015-09-26 13:20:00,0,40,False
2015-09-26 13:28:00,0,44,False
2015-09-26 13:36:00,0,52,False
2015-09-26 13:44:00,0,60,False
2015-09-26 13:52:00,0,75,False
