date,Norwich City Football Club,isPartial
2015-09-20 15:44:00,30,False
2015-09-20 15:52:00,40,False
2015-09-20 16:00:00,70,False
2015-09-20 16:08:00,100,False
2015-09-20 16:16:00,60,False
2015-09-20 16:24:00,10,False
2015-09-20 16:32:00,50,False
2015-09-20 16:40:00,70,False
2015-09-20 16:48:00,60,False
2015-09-20 16:56:00,10,False
2015-09-20 17:04:00,30,False
2015-09-20 17:12:00,70,False
2015-09-20 17:20:00,50,False
2015-09-20 17:28:00,40,False
2015-09-20 17:36:00,30,False
2015-09-20 17:44:00,50,False
2015-09-20 17:52:00,20,False
2015-09-20 18:00:00,40,False
2015-09-20 18:08:00,10,False
2015-09-20 18:16:00,51,False
2015-09-20 18:24:00,31,False
2015-09-20 18:32:00,10,False
2015-09-20 18:40:00,10,False
2015-09-20 18:48:00,21,False
2015-09-20 18:56:00,21,False
2015-09-20 19:04:00,32,False
2015-09-20 19:12:00,42,False
2015-09-20 19:20:00,32,False
2015-09-20 19:28:00,33,False
2015-09-20 19:36:00,0,False
2015-09-20 19:44:00,44,False
2015-09-20 19:52:00,22,False
2015-09-20 20:00:00,23,False
2015-09-26 13:04:00,26,False
2015-09-26 13:12:00,26,False
2015-09-26 13:20:00,25,False
2015-09-26 13:28:00,25,False
2015-09-26 13:36:00,50,False
2015-09-26 13:44:00,49,False
2015-09-26 13:52:00,24,False
2015-09-26 14:00:00,0,False
2015-09-26 14:08:00,48,False
2015-09-26 14:16:00,48,False
2015-09-26 14:24:00,0,False
2015-09-26 14:32:00,48,False
2015-09-26 14:40:00,24,False
2015-09-26 14:48:00,0,False
2015-09-26 14:56:00,24,False
2015-09-26 15:04:00,24,False
2015-09-26 15:12:00,47,False
2015-09-26 15:20:00,47,False
2015-09-26 15:28:00,23,False
2015-09-26 15:36:00,0,False
2015-09-26 15:44:00,24,False
2015-09-26 15:52:00,92,False
2015-09-26 16:00:00,23,False
2015-09-26 16:08:00,70,False
2015-09-26 16:16:00,23,False
2015-09-26 16:24:00,71,False
2015-09-26 16:32:00,47,False
2015-09-26 16:40:00,24,False
2015-09-26 16:48:00,95,False
2015-09-26 16:56:00,72,False
2015-09-26 17:04:00,48,False
2015-09-26 17:12:00,0,False
2015-09-26 17:20:00,73,False
2015-09-26 17:28:00,24,False
2015-09-26 17:36:00,25,False
2015-09-26 17:44:00,49,False
2015-09-26 17:52:00,0,False
2015-09-26 18:00:00,100,False
