date,Leicester City Football Club,Leicester City,isPartial
2015-09-26 15:52:00,0,64,False
2015-09-26 16:00:00,0,51,False
2015-09-26 16:08:00,1,51,False
2015-09-26 16:16:00,0,40,False
2015-09-26 16:24:00,0,32,False
2015-09-26 16:32:00,0,33,False
2015-09-26 16:40:00,0,31,False
2015-09-26 16:48:00,0,24,False
2015-09-26 16:56:00,0,28,False
2015-09-26 17:04:00,0,27,False
2015-09-26 17:12:00,0,21,False
2015-09-26 17:20:00,0,21,False
2015-09-26 17:28:00,0,20,False
2015-09-26 17:36:00,0,19,False
2015-09-26 17:44:00,0,20,False
2015-09-26 17:52:00,0,20,False
2015-09-26 18:00:00,0,18,False
2015-09-26 18:08:00,0,17,False
2015-09-26 18:16:00,0,17,False
2015-09-26 18:24:00,0,18,False
2015-09-26 18:32:00,0,20,False
2015-09-26 18:40:00,0,20,False
2015-09-26 18:48:00,0,18,False
2015-09-26 18:56:00,1,20,False
2015-10-03 13:04:00,0,43,False
2015-10-03 13:12:00,1,46,False
2015-10-03 13:20:00,0,38,False
2015-10-03 13:28:00,0,45,False
2015-10-03 13:36:00,0,42,False
2015-10-03 13:44:00,0,54,False
2015-10-03 13:52:00,0,52,False
2015-10-03 14:00:00,1,75,False
2015-10-03 14:08:00,1,69,False
2015-10-03 14:16:00,0,69,False
2015-10-03 14:24:00,0,82,False
2015-10-03 14:32:00,0,77,False
2015-10-03 14:40:00,0,78,False
2015-10-03 14:48:00,2,85,False
2015-10-03 14:56:00,1,72,False
2015-10-03 15:04:00,0,93,False
2015-10-03 15:12:00,0,87,False
2015-10-03 15:20:00,1,90,False
2015-10-03 15:28:00,1,94,False
2015-10-03 15:36:00,2,93,False
2015-10-03 15:44:00,4,87,False
2015-10-03 15:52:00,0,100,False
2015-10-03 16:00:00,1,84,False
2015-10-03 16:08:00,1,71,False
2015-10-03 16:16:00,0,62,False
2015-10-03 16:24:00,2,55,False
2015-10-03 16:32:00,2,55,False
2015-10-03 16:40:00,2,50,False
2015-10-03 16:48:00,0,45,False
2015-10-03 16:56:00,1,55,False
2015-10-03 17:04:00,1,45,False
2015-10-03 17:12:00,1,39,False
2015-10-03 17:20:00,0,44,False
2015-10-03 17:28:00,0,35,False
2015-10-03 17:36:00,2,42,False
2015-10-03 17:44:00,1,37,False
2015-10-03 17:52:00,2,43,False
2015-10-03 18:00:00,0,44,False
2015-10-03 18:08:00,1,32,False
2015-10-03 18:16:00,2,34,False
2015-10-03 18:24:00,2,36,False
2015-10-03 18:32:00,0,44,False
2015-10-03 18:40:00,1,43,False
2015-10-03 18:48:00,1,33,False
2015-10-03 18:56:00,0,35,False
2015-10-17 13:04:00,0,29,False
2015-10-17 13:12:00,0,22,False
2015-10-17 13:20:00,1,24,False
2015-10-17 13:28:00,1,24,False
2015-10-17 13:36:00,0,31,False
2015-10-17 13:44:00,1,35,False
2015-10-17 13:52:00,0,40,False
2015-10-17 14:00:00,0,51,False
2015-10-17 14:08:00,0,54,False
2015-10-17 14:16:00,0,38,False
2015-10-17 14:24:00,1,43,False
2015-10-17 14:32:00,1,54,False
2015-10-17 14:40:00,0,45,False
2015-10-17 14:48:00,1,44,False
2015-10-17 14:56:00,3,52,False
2015-10-17 15:04:00,1,55,False
2015-10-17 15:12:00,1,59,False
2015-10-17 15:20:00,1,51,False
2015-10-17 15:28:00,0,54,False
2015-10-17 15:36:00,1,54,False
2015-10-17 15:44:00,1,68,False
2015-10-17 15:52:00,1,100,False
2015-10-17 16:00:00,0,70,False
2015-10-17 16:08:00,0,62,False
2015-10-17 16:16:00,0,56,False
2015-10-17 16:24:00,1,49,False
2015-10-17 16:32:00,0,43,False
2015-10-17 16:40:00,2,43,False
2015-10-17 16:48:00,1,35,False
2015-10-17 16:56:00,1,44,False
2015-10-17 17:04:00,1,39,False
2015-10-17 17:12:00,0,37,False
2015-10-17 17:20:00,1,36,False
2015-10-17 17:28:00,1,32,False
2015-10-17 17:36:00,0,33,False
2015-10-17 17:44:00,1,28,False
2015-10-17 17:52:00,1,24,False
2015-10-17 18:00:00,0,29,False
2015-10-17 18:08:00,0,29,False
2015-10-17 18:16:00,2,31,False
2015-10-17 18:24:00,1,29,False
2015-10-17 18:32:00,2,26,False
2015-10-17 18:40:00,0,25,False
2015-10-17 18:48:00,0,31,False
2015-10-17 18:56:00,0,21,False
2015-10-24 13:04:00,1,29,False
2015-10-24 13:12:00,1,34,False
2015-10-24 13:20:00,1,35,False
2015-10-24 13:28:00,0,36,False
2015-10-24 13:36:00,0,35,False
2015-10-24 13:44:00,0,44,False
2015-10-24 13:52:00,1,50,False
2015-10-24 14:00:00,0,64,False
