date,Arsenal Football Club,isPartial
2015-10-17 18:00:00,86,False
2015-10-17 18:08:00,55,False
2015-10-17 18:16:00,43,False
2015-10-17 18:24:00,52,False
2015-10-17 18:32:00,56,False
2015-10-17 18:40:00,36,False
2015-10-17 18:48:00,41,False
2015-10-17 18:56:00,41,False
2015-10-17 19:04:00,29,False
2015-10-17 19:12:00,46,False
2015-10-17 19:20:00,34,False
2015-10-17 19:28:00,30,False
2015-10-17 19:36:00,21,False
2015-10-17 19:44:00,34,False
2015-10-17 19:52:00,39,False
2015-10-17 20:00:00,18,False
2015-10-17 20:08:00,18,False
2015-10-17 20:16:00,18,False
2015-10-17 20:24:00,40,False
2015-10-17 20:32:00,27,False
2015-10-17 20:40:00,14,False
2015-10-17 20:48:00,37,False
2015-10-17 20:56:00,9,False
2015-10-24 15:04:00,5,False
2015-10-24 15:12:00,5,False
2015-10-24 15:20:00,14,False
2015-10-24 15:28:00,33,False
2015-10-24 15:36:00,19,False
2015-10-24 15:44:00,23,False
2015-10-24 15:52:00,46,False
2015-10-24 16:00:00,23,False
2015-10-24 16:08:00,19,False
2015-10-24 16:16:00,37,False
2015-10-24 16:24:00,37,False
2015-10-24 16:32:00,33,False
2015-10-24 16:40:00,43,False
2015-10-24 16:48:00,57,False
2015-10-24 16:56:00,80,False
2015-10-24 17:04:00,100,False
2015-10-24 17:12:00,71,False
2015-10-24 17:20:00,43,False
2015-10-24 17:28:00,67,False
2015-10-24 17:36:00,68,False
2015-10-24 17:44:00,49,False
2015-10-24 17:52:00,39,False
2015-10-24 18:00:00,50,False
2015-10-24 18:08:00,40,False
2015-10-24 18:16:00,60,False
2015-10-24 18:24:00,45,False
2015-10-24 18:32:00,41,False
2015-10-24 18:40:00,71,False
2015-10-24 18:48:00,46,False
2015-10-24 18:56:00,47,False
2015-10-24 19:04:00,26,False
2015-10-24 19:12:00,42,False
2015-10-24 19:20:00,42,False
2015-10-24 19:28:00,80,False
2015-10-24 19:36:00,43,False
2015-10-24 19:44:00,32,False
2015-10-24 19:52:00,38,False
2015-10-24 20:00:00,44,False
2015-10-24 20:08:00,39,False
2015-10-24 20:16:00,66,False
2015-10-24 20:24:00,45,False
2015-10-24 20:32:00,29,False
2015-10-24 20:40:00,28,False
2015-10-24 20:48:00,40,False
2015-10-24 20:56:00,29,False
2015-10-31 13:04:00,26,False
2015-10-31 13:12:00,26,False
2015-10-31 13:20:00,19,False
2015-10-31 13:28:00,32,False
2015-10-31 13:36:00,19,False
2015-10-31 13:44:00,6,False
2015-10-31 13:52:00,31,False
2015-10-31 14:00:00,31,False
2015-10-31 14:08:00,12,False
2015-10-31 14:16:00,18,False
2015-10-31 14:24:00,24,False
2015-10-31 14:32:00,24,False
2015-10-31 14:40:00,53,False
2015-10-31 14:48:00,35,False
2015-10-31 14:56:00,12,False
2015-10-31 15:04:00,35,False
2015-10-31 15:12:00,18,False
2015-10-31 15:20:00,29,False
2015-10-31 15:28:00,47,False
2015-10-31 15:36:00,41,False
2015-10-31 15:44:00,40,False
2015-10-31 15:52:00,58,False
2015-10-31 16:00:00,35,False
2015-10-31 16:08:00,41,False
2015-10-31 16:16:00,35,False
2015-10-31 16:24:00,59,False
2015-10-31 16:32:00,100,False
2015-10-31 16:40:00,65,False
2015-10-31 16:48:00,69,False
2015-10-31 16:56:00,75,False
2015-10-31 17:04:00,35,False
2015-10-31 17:12:00,77,False
2015-10-31 17:20:00,90,False
2015-10-31 17:28:00,66,False
2015-10-31 17:36:00,30,False
2015-10-31 17:44:00,86,False
2015-10-31 17:52:00,96,False
2015-10-31 18:00:00,18,False
2015-10-31 18:08:00,31,False
2015-10-31 18:16:00,62,False
2015-10-31 18:24:00,50,False
2015-10-31 18:32:00,51,False
2015-10-31 18:40:00,57,False
2015-10-31 18:48:00,26,False
2015-10-31 18:56:00,32,False
2015-11-08 14:00:00,28,False
2015-11-08 14:08:00,33,False
2015-11-08 14:16:00,14,False
2015-11-08 14:24:00,32,False
2015-11-08 14:32:00,18,False
2015-11-08 14:40:00,18,False
2015-11-08 14:48:00,14,False
2015-11-08 14:56:00,50,False
2015-11-08 15:04:00,36,False
2015-11-08 15:12:00,36,False
2015-11-08 15:20:00,22,False
2015-11-08 15:28:00,53,False
2015-11-08 15:36:00,49,False
