date,Chelsea Football Club,isPartial
2015-10-17 13:44:00,56,False
2015-10-17 13:52:00,56,False
2015-10-17 14:00:00,60,False
2015-10-17 14:08:00,64,False
2015-10-17 14:16:00,55,False
2015-10-17 14:24:00,67,False
2015-10-17 14:32:00,67,False
2015-10-17 14:40:00,67,False
2015-10-17 14:48:00,70,False
2015-10-17 14:56:00,95,False
2015-10-17 15:04:00,84,False
2015-10-17 15:12:00,100,False
2015-10-17 15:20:00,83,False
2015-10-17 15:28:00,83,False
2015-10-17 15:36:00,50,False
2015-10-17 15:44:00,66,False
2015-10-17 15:52:00,85,False
2015-10-17 16:00:00,66,False
2015-10-17 16:08:00,75,False
2015-10-17 16:16:00,79,False
2015-10-17 16:24:00,46,False
2015-10-17 16:32:00,59,False
2015-10-17 16:40:00,47,False
2015-10-17 16:48:00,76,False
2015-10-17 16:56:00,46,False
2015-10-17 17:04:00,73,False
2015-10-17 17:12:00,34,False
2015-10-17 17:20:00,60,False
2015-10-17 17:28:00,69,False
2015-10-17 17:36:00,43,False
2015-10-17 17:44:00,48,False
2015-10-17 17:52:00,43,False
2015-10-17 18:00:00,62,False
2015-10-17 18:08:00,22,False
2015-10-17 18:16:00,80,False
2015-10-17 18:24:00,72,False
2015-10-17 18:32:00,45,False
2015-10-17 18:40:00,32,False
2015-10-17 18:48:00,46,False
2015-10-17 18:56:00,42,False
2015-10-24 13:04:00,0,False
2015-10-24 13:12:00,0,False
2015-10-24 13:20:00,0,False
2015-10-24 13:28:00,0,False
2015-10-24 13:36:00,0,False
2015-10-24 13:44:00,0,False
2015-10-24 13:52:00,0,False
2015-10-24 14:00:00,0,False
2015-10-24 14:08:00,0,False
2015-10-24 14:16:00,0,False
2015-10-24 14:24:00,0,False
2015-10-24 14:32:00,0,False
2015-10-24 14:40:00,0,False
2015-10-24 14:48:00,0,False
2015-10-24 14:56:00,0,False
2015-10-24 15:04:00,0,False
2015-10-24 15:12:00,0,False
2015-10-24 15:20:00,0,False
2015-10-24 15:28:00,0,False
2015-10-24 15:36:00,0,False
2015-10-24 15:44:00,0,False
2015-10-24 15:52:00,0,False
2015-10-24 16:00:00,0,False
2015-10-24 16:08:00,0,False
2015-10-24 16:16:00,0,False
2015-10-24 16:24:00,0,False
2015-10-24 16:32:00,0,False
2015-10-24 16:40:00,0,False
2015-10-24 16:48:00,0,False
2015-10-24 16:56:00,65,False
2015-10-24 17:04:00,85,False
2015-10-24 17:12:00,80,False
2015-10-24 17:20:00,75,False
2015-10-24 17:28:00,61,False
2015-10-24 17:36:00,48,False
2015-10-24 17:44:00,67,False
2015-10-24 17:52:00,48,False
2015-10-24 18:00:00,88,False
2015-10-24 18:08:00,49,False
2015-10-24 18:16:00,64,False
2015-10-24 18:24:00,74,False
2015-10-24 18:32:00,65,False
2015-10-24 18:40:00,100,False
2015-10-24 18:48:00,56,False
2015-10-24 18:56:00,31,False
2015-10-31 10:00:00,23,False
2015-10-31 10:08:00,29,False
2015-10-31 10:16:00,20,False
2015-10-31 10:24:00,37,False
2015-10-31 10:32:00,11,False
2015-10-31 10:40:00,17,False
2015-10-31 10:48:00,16,False
2015-10-31 10:56:00,33,False
2015-10-31 11:04:00,35,False
2015-10-31 11:12:00,16,False
2015-10-31 11:20:00,29,False
2015-10-31 11:28:00,47,False
2015-10-31 11:36:00,28,False
2015-10-31 11:44:00,33,False
2015-10-31 11:52:00,28,False
2015-10-31 12:00:00,23,False
2015-10-31 12:08:00,22,False
2015-10-31 12:16:00,44,False
2015-10-31 12:24:00,24,False
2015-10-31 12:32:00,38,False
2015-10-31 12:40:00,38,False
2015-10-31 12:48:00,30,False
2015-10-31 12:56:00,39,False
2015-10-31 13:04:00,32,False
2015-10-31 13:12:00,54,False
2015-10-31 13:20:00,18,False
2015-10-31 13:28:00,36,False
2015-10-31 13:36:00,37,False
2015-10-31 13:44:00,37,False
2015-10-31 13:52:00,24,False
2015-10-31 14:00:00,52,False
2015-10-31 14:08:00,37,False
2015-10-31 14:16:00,52,False
2015-10-31 14:24:00,90,False
2015-10-31 14:32:00,81,False
2015-10-31 14:40:00,100,False
2015-10-31 14:48:00,77,False
2015-10-31 14:56:00,85,False
2015-10-31 15:04:00,60,False
2015-10-31 15:12:00,50,False
2015-10-31 15:20:00,50,False
2015-10-31 15:28:00,35,False
2015-10-31 15:36:00,52,False
2015-10-31 15:44:00,45,False
2015-10-31 15:52:00,45,False
2015-10-31 16:00:00,45,False
2015-11-07 15:04:00,12,False
2015-11-07 15:12:00,31,False
2015-11-07 15:20:00,22,False
2015-11-07 15:28:00,31,False
2015-11-07 15:36:00,29,False
2015-11-07 15:44:00,24,False
2015-11-07 15:52:00,19,False
2015-11-07 16:00:00,19,False
2015-11-07 16:08:00,12,False
2015-11-07 16:16:00,12,False
2015-11-07 16:24:00,28,False
2015-11-07 16:32:00,24,False
2015-11-07 16:40:00,21,False
2015-11-07 16:48:00,31,False
2015-11-07 16:56:00,16,False
2015-11-07 17:04:00,36,False
2015-11-07 17:12:00,28,False
2015-11-07 17:20:00,24,False
2015-11-07 17:28:00,31,False
2015-11-07 17:36:00,55,False
2015-11-07 17:44:00,60,False
2015-11-07 17:52:00,29,False
2015-11-07 18:00:00,49,False
2015-11-07 18:08:00,30,False
2015-11-07 18:16:00,64,False
2015-11-07 18:24:00,45,False
2015-11-07 18:32:00,35,False
2015-11-07 18:40:00,63,False
2015-11-07 18:48:00,48,False
2015-11-07 18:56:00,54,False
2015-11-07 19:04:00,47,False
2015-11-07 19:12:00,68,False
2015-11-07 19:20:00,100,False
2015-11-07 19:28:00,89,False
2015-11-07 19:36:00,79,False
2015-11-07 19:44:00,77,False
2015-11-07 19:52:00,59,False
2015-11-07 20:00:00,66,False
2015-11-07 20:08:00,79,False
2015-11-07 20:16:00,58,False
2015-11-07 20:24:00,38,False
2015-11-07 20:32:00,50,False
2015-11-07 20:40:00,45,False
2015-11-07 20:48:00,45,False
2015-11-07 20:56:00,49,False
2015-11-21 13:04:00,28,False
2015-11-21 13:12:00,56,False
2015-11-21 13:20:00,33,False
2015-11-21 13:28:00,55,False
2015-11-21 13:36:00,43,False
2015-11-21 13:44:00,59,False
2015-11-21 13:52:00,43,False
2015-11-21 14:00:00,43,False
2015-11-21 14:08:00,43,False
2015-11-21 14:16:00,31,False
2015-11-21 14:24:00,58,False
2015-11-21 14:32:00,62,False
2015-11-21 14:40:00,57,False
2015-11-21 14:48:00,46,False
2015-11-21 14:56:00,61,False
2015-11-21 15:04:00,71,False
2015-11-21 15:12:00,56,False
2015-11-21 15:20:00,40,False
2015-11-21 15:28:00,50,False
2015-11-21 15:36:00,55,False
2015-11-21 15:44:00,60,False
2015-11-21 15:52:00,65,False
2015-11-21 16:00:00,70,False
2015-11-21 16:08:00,80,False
2015-11-21 16:16:00,60,False
2015-11-21 16:24:00,25,False
2015-11-21 16:32:00,30,False
2015-11-21 16:40:00,100,False
2015-11-21 16:48:00,69,False
2015-11-21 16:56:00,78,False
2015-11-21 17:04:00,49,False
2015-11-21 17:12:00,49,False
2015-11-21 17:20:00,49,False
2015-11-21 17:28:00,50,False
2015-11-21 17:36:00,65,False
2015-11-21 17:44:00,51,False
2015-11-21 17:52:00,46,False
2015-11-21 18:00:00,82,False
2015-11-21 18:08:00,51,False
2015-11-21 18:16:00,62,False
2015-11-21 18:24:00,47,False
2015-11-21 18:32:00,43,False
2015-11-21 18:40:00,32,False
2015-11-21 18:48:00,43,False
2015-11-21 18:56:00,33,False
2015-11-29 10:00:00,14,False
2015-11-29 10:08:00,28,False
2015-11-29 10:16:00,41,False
2015-11-29 10:24:00,34,False
2015-11-29 10:32:00,40,False
2015-11-29 10:40:00,80,False
2015-11-29 10:48:00,40,False
2015-11-29 10:56:00,20,False
2015-11-29 11:04:00,52,False
2015-11-29 11:12:00,39,False
