date,Everton Football Club,Everton,isPartial
2015-09-28 18:00:00,0,31,False
2015-09-28 18:08:00,0,32,False
2015-09-28 18:16:00,0,31,False
2015-09-28 18:24:00,0,32,False
2015-09-28 18:32:00,0,35,False
2015-09-28 18:40:00,0,41,False
2015-09-28 18:48:00,0,43,False
2015-09-28 18:56:00,0,52,False
2015-09-28 19:04:00,0,53,False
2015-09-28 19:12:00,0,45,False
2015-09-28 19:20:00,0,48,False
2015-09-28 19:28:00,0,50,False
2015-09-28 19:36:00,0,51,False
2015-09-28 19:44:00,0,51,False
2015-09-28 19:52:00,0,51,False
2015-09-28 20:00:00,0,54,False
2015-09-28 20:08:00,0,62,False
2015-09-28 20:16:00,0,67,False
2015-09-28 20:24:00,0,71,False
2015-09-28 20:32:00,0,79,False
2015-09-28 20:40:00,0,88,False
2015-09-28 20:48:00,1,100,False
2015-09-28 20:56:00,0,97,False
2015-09-28 21:04:00,0,75,False
2015-09-28 21:12:00,0,64,False
2015-09-28 21:20:00,0,57,False
2015-09-28 21:28:00,0,55,False
2015-09-28 21:36:00,0,44,False
2015-09-28 21:44:00,0,42,False
2015-09-28 21:52:00,0,41,False
2015-09-28 22:00:00,0,37,False
2015-09-28 22:08:00,0,33,False
2015-09-28 22:16:00,0,30,False
2015-09-28 22:24:00,0,30,False
2015-09-28 22:32:00,0,29,False
2015-09-28 22:40:00,0,29,False
2015-09-28 22:48:00,0,27,False
2015-09-28 22:56:00,0,22,False
2015-09-28 23:04:00,0,23,False
2015-09-28 23:12:00,0,23,False
2015-09-28 23:20:00,0,22,False
2015-09-28 23:28:00,0,19,False
2015-09-28 23:36:00,0,21,False
2015-09-28 23:44:00,0,19,False
2015-09-28 23:52:00,0,18,False
2015-09-29 00:00:00,0,18,False
2015-10-04 11:04:00,0,26,False
2015-10-04 11:12:00,0,29,False
2015-10-04 11:20:00,0,32,False
2015-10-04 11:28:00,0,38,False
2015-10-04 11:36:00,0,40,False
2015-10-04 11:44:00,0,41,False
2015-10-04 11:52:00,0,44,False
2015-10-04 12:00:00,0,49,False
2015-10-04 12:08:00,0,50,False
2015-10-04 12:16:00,0,66,False
2015-10-04 12:24:00,0,93,False
2015-10-04 12:32:00,0,100,False
2015-10-04 12:40:00,0,88,False
2015-10-04 12:48:00,0,80,False
2015-10-04 12:56:00,0,80,False
2015-10-04 13:04:00,0,77,False
2015-10-04 13:12:00,0,81,False
2015-10-04 13:20:00,0,69,False
2015-10-04 13:28:00,0,65,False
2015-10-04 13:36:00,0,73,False
2015-10-04 13:44:00,0,78,False
2015-10-04 13:52:00,0,74,False
2015-10-04 14:00:00,0,75,False
2015-10-04 14:08:00,0,73,False
2015-10-04 14:16:00,0,66,False
2015-10-04 14:24:00,0,66,False
2015-10-04 14:32:00,0,49,False
2015-10-04 14:40:00,0,40,False
2015-10-04 14:48:00,0,36,False
2015-10-04 14:56:00,0,32,False
2015-10-04 15:04:00,0,28,False
2015-10-04 15:12:00,0,25,False
2015-10-04 15:20:00,0,23,False
2015-10-04 15:28:00,0,21,False
2015-10-04 15:36:00,0,20,False
2015-10-04 15:44:00,0,18,False
2015-10-04 15:52:00,0,18,False
2015-10-04 16:00:00,0,15,False
2015-10-04 16:08:00,0,14,False
2015-10-04 16:16:00,0,14,False
2015-10-04 16:24:00,0,13,False
2015-10-04 16:32:00,0,14,False
2015-10-04 16:40:00,0,13,False
2015-10-04 16:48:00,0,14,False
2015-10-04 16:56:00,0,12,False
2015-10-17 13:04:00,0,25,False
2015-10-17 13:12:00,0,24,False
2015-10-17 13:20:00,0,28,False
2015-10-17 13:28:00,0,32,False
2015-10-17 13:36:00,0,51,False
2015-10-17 13:44:00,0,61,False
2015-10-17 13:52:00,0,83,False
2015-10-17 14:00:00,0,100,False
2015-10-17 14:08:00,0,80,False
2015-10-17 14:16:00,0,79,False
2015-10-17 14:24:00,0,78,False
2015-10-17 14:32:00,0,68,False
2015-10-17 14:40:00,0,56,False
2015-10-17 14:48:00,0,52,False
2015-10-17 14:56:00,0,54,False
2015-10-17 15:04:00,0,59,False
2015-10-17 15:12:00,0,57,False
2015-10-17 15:20:00,0,62,False
2015-10-17 15:28:00,0,52,False
2015-10-17 15:36:00,0,48,False
2015-10-17 15:44:00,0,44,False
2015-10-17 15:52:00,0,49,False
2015-10-17 16:00:00,0,39,False
2015-10-17 16:08:00,0,34,False
2015-10-17 16:16:00,0,31,False
2015-10-17 16:24:00,0,27,False
2015-10-17 16:32:00,0,24,False
2015-10-17 16:40:00,0,23,False
2015-10-17 16:48:00,0,21,False
2015-10-17 16:56:00,0,21,False
2015-10-17 17:04:00,0,19,False
2015-10-17 17:12:00,0,20,False
2015-10-17 17:20:00,0,19,False
2015-10-17 17:28:00,0,18,False
2015-10-17 17:36:00,0,17,False
2015-10-17 17:44:00,0,16,False
2015-10-17 17:52:00,0,16,False
2015-10-17 18:00:00,0,15,False
2015-10-17 18:08:00,0,15,False
2015-10-17 18:16:00,0,14,False
2015-10-17 18:24:00,0,15,False
2015-10-17 18:32:00,0,14,False
2015-10-17 18:40:00,0,13,False
2015-10-17 18:48:00,0,12,False
2015-10-17 18:56:00,0,12,False
2015-10-24 15:04:00,0,0,False
2015-10-24 15:12:00,0,0,False
2015-10-24 15:20:00,0,0,False
2015-10-24 15:28:00,0,0,False
2015-10-24 15:36:00,0,0,False
2015-10-24 15:44:00,0,0,False
2015-10-24 15:52:00,0,0,False
2015-10-24 16:00:00,0,0,False
2015-10-24 16:08:00,0,0,False
2015-10-24 16:16:00,0,0,False
2015-10-24 16:24:00,0,0,False
2015-10-24 16:32:00,0,0,False
2015-10-24 16:40:00,0,0,False
2015-10-24 16:48:00,0,0,False
2015-10-24 16:56:00,0,95,False
2015-10-24 17:04:00,0,100,False
2015-10-24 17:12:00,0,93,False
2015-10-24 17:20:00,0,81,False
2015-10-24 17:28:00,0,86,False
2015-10-24 17:36:00,0,92,False
2015-10-24 17:44:00,0,89,False
2015-10-24 17:52:00,0,98,False
2015-10-24 18:00:00,0,100,False
2015-10-24 18:08:00,0,89,False
2015-10-24 18:16:00,0,95,False
2015-10-24 18:24:00,0,80,False
2015-10-24 18:32:00,0,60,False
2015-10-24 18:40:00,0,48,False
2015-10-24 18:48:00,0,39,False
2015-10-24 18:56:00,0,38,False
2015-10-24 19:04:00,0,32,False
2015-10-24 19:12:00,0,32,False
2015-10-24 19:20:00,0,30,False
2015-10-24 19:28:00,0,26,False
2015-10-24 19:36:00,0,25,False
2015-10-24 19:44:00,0,23,False
2015-10-24 19:52:00,0,21,False
2015-10-24 20:00:00,0,21,False
2015-10-24 20:08:00,0,21,False
2015-10-24 20:16:00,0,19,False
2015-10-24 20:24:00,0,18,False
2015-10-24 20:32:00,0,18,False
2015-10-24 20:40:00,0,20,False
2015-10-24 20:48:00,0,16,False
2015-10-24 20:56:00,0,19,False
2015-11-01 11:04:00,0,23,False
2015-11-01 11:12:00,0,24,False
2015-11-01 11:20:00,0,24,False
2015-11-01 11:28:00,0,25,False
2015-11-01 11:36:00,0,25,False
2015-11-01 11:44:00,0,26,False
2015-11-01 11:52:00,0,27,False
2015-11-01 12:00:00,0,28,False
2015-11-01 12:08:00,0,27,False
2015-11-01 12:16:00,0,34,False
2015-11-01 12:24:00,0,36,False
2015-11-01 12:32:00,0,34,False
2015-11-01 12:40:00,0,37,False
2015-11-01 12:48:00,0,36,False
2015-11-01 12:56:00,0,38,False
2015-11-01 13:04:00,0,42,False
2015-11-01 13:12:00,0,43,False
2015-11-01 13:20:00,0,51,False
2015-11-01 13:28:00,0,66,False
2015-11-01 13:36:00,0,69,False
