date,Leicester City Football Club,isPartial
2015-09-19 16:48:00,39,False
2015-09-19 16:56:00,0,False
2015-09-19 17:04:00,100,False
2015-09-19 17:12:00,60,False
2015-09-19 17:20:00,60,False
2015-09-19 17:28:00,40,False
2015-09-19 17:36:00,20,False
2015-09-19 17:44:00,40,False
2015-09-19 17:52:00,20,False
2015-09-19 18:00:00,41,False
2015-09-19 18:08:00,41,False
2015-09-19 18:16:00,0,False
2015-09-19 18:24:00,63,False
2015-09-19 18:32:00,42,False
2015-09-19 18:40:00,0,False
2015-09-19 18:48:00,0,False
2015-09-19 18:56:00,21,False
2015-09-26 13:04:00,31,False
2015-09-26 13:12:00,30,False
2015-09-26 13:20:00,15,False
2015-09-26 13:28:00,30,False
2015-09-26 13:36:00,29,False
2015-09-26 13:44:00,15,False
2015-09-26 13:52:00,72,False
2015-09-26 14:00:00,43,False
2015-09-26 14:08:00,43,False
2015-09-26 14:16:00,100,False
2015-09-26 14:24:00,29,False
2015-09-26 14:32:00,57,False
2015-09-26 14:40:00,71,False
2015-09-26 14:48:00,28,False
2015-09-26 14:56:00,56,False
2015-09-26 15:04:00,85,False
2015-09-26 15:12:00,28,False
2015-09-26 15:20:00,84,False
2015-09-26 15:28:00,42,False
2015-09-26 15:36:00,42,False
2015-09-26 15:44:00,56,False
2015-09-26 15:52:00,55,False
2015-09-26 16:00:00,55,False
2015-09-26 16:08:00,97,False
2015-09-26 16:16:00,14,False
2015-09-26 16:24:00,14,False
2015-09-26 16:32:00,42,False
2015-09-26 16:40:00,28,False
2015-09-26 16:48:00,28,False
2015-09-26 16:56:00,29,False
2015-09-26 17:04:00,57,False
2015-09-26 17:12:00,43,False
2015-09-26 17:20:00,29,False
2015-09-26 17:28:00,29,False
2015-09-26 17:36:00,44,False
2015-09-26 17:44:00,0,False
2015-09-26 17:52:00,15,False
2015-09-26 18:00:00,30,False
2015-09-26 18:08:00,0,False
2015-09-26 18:16:00,30,False
2015-09-26 18:24:00,30,False
2015-09-26 18:32:00,15,False
2015-09-26 18:40:00,46,False
2015-09-26 18:48:00,31,False
2015-09-26 18:56:00,93,False
2015-10-03 13:04:00,0,False
2015-10-03 13:12:00,33,False
2015-10-03 13:20:00,0,False
2015-10-03 13:28:00,0,False
2015-10-03 13:36:00,0,False
2015-10-03 13:44:00,11,False
2015-10-03 13:52:00,10,False
2015-10-03 14:00:00,21,False
2015-10-03 14:08:00,21,False
2015-10-03 14:16:00,10,False
2015-10-03 14:24:00,0,False
2015-10-03 14:32:00,10,False
2015-10-03 14:40:00,0,False
2015-10-03 14:48:00,50,False
2015-10-03 14:56:00,20,False
2015-10-03 15:04:00,10,False
2015-10-03 15:12:00,10,False
2015-10-03 15:20:00,20,False
2015-10-03 15:28:00,20,False
2015-10-03 15:36:00,50,False
2015-10-03 15:44:00,100,False
2015-10-03 15:52:00,10,False
2015-10-03 16:00:00,30,False
2015-10-03 16:08:00,30,False
2015-10-03 16:16:00,0,False
2015-10-03 16:24:00,50,False
2015-10-03 16:32:00,40,False
2015-10-03 16:40:00,50,False
2015-10-03 16:48:00,10,False
2015-10-03 16:56:00,20,False
2015-10-03 17:04:00,31,False
2015-10-03 17:12:00,21,False
2015-10-03 17:20:00,10,False
2015-10-03 17:28:00,0,False
2015-10-03 17:36:00,52,False
2015-10-03 17:44:00,31,False
2015-10-03 17:52:00,42,False
2015-10-03 18:00:00,11,False
2015-10-03 18:08:00,21,False
2015-10-03 18:16:00,43,False
2015-10-03 18:24:00,43,False
2015-10-03 18:32:00,11,False
2015-10-03 18:40:00,22,False
2015-10-03 18:48:00,22,False
2015-10-03 18:56:00,0,False
2015-10-17 13:04:00,16,False
2015-10-17 13:12:00,0,False
2015-10-17 13:20:00,31,False
2015-10-17 13:28:00,31,False
2015-10-17 13:36:00,15,False
2015-10-17 13:44:00,30,False
2015-10-17 13:52:00,15,False
2015-10-17 14:00:00,15,False
2015-10-17 14:08:00,15,False
2015-10-17 14:16:00,0,False
2015-10-17 14:24:00,43,False
2015-10-17 14:32:00,29,False
2015-10-17 14:40:00,14,False
2015-10-17 14:48:00,57,False
2015-10-17 14:56:00,100,False
2015-10-17 15:04:00,29,False
2015-10-17 15:12:00,57,False
2015-10-17 15:20:00,43,False
2015-10-17 15:28:00,14,False
2015-10-17 15:36:00,43,False
2015-10-17 15:44:00,28,False
2015-10-17 15:52:00,56,False
2015-10-17 16:00:00,14,False
2015-10-17 16:08:00,14,False
2015-10-17 16:16:00,0,False
2015-10-17 16:24:00,29,False
2015-10-17 16:32:00,15,False
2015-10-17 16:40:00,73,False
2015-10-17 16:48:00,29,False
2015-10-17 16:56:00,29,False
2015-10-17 17:04:00,29,False
2015-10-17 17:12:00,0,False
2015-10-17 17:20:00,29,False
2015-10-17 17:28:00,30,False
2015-10-17 17:36:00,15,False
2015-10-17 17:44:00,45,False
2015-10-17 17:52:00,30,False
2015-10-17 18:00:00,0,False
2015-10-17 18:08:00,15,False
2015-10-17 18:16:00,61,False
2015-10-17 18:24:00,31,False
2015-10-17 18:32:00,62,False
2015-10-17 18:40:00,0,False
2015-10-17 18:48:00,16,False
2015-10-17 18:56:00,16,False
2015-10-24 13:04:00,0,False
2015-10-24 13:12:00,0,False
2015-10-24 13:20:00,0,False
2015-10-24 13:28:00,0,False
2015-10-24 13:36:00,0,False
2015-10-24 13:44:00,0,False
2015-10-24 13:52:00,0,False
2015-10-24 14:00:00,0,False
2015-10-24 14:08:00,0,False
2015-10-24 14:16:00,0,False
2015-10-24 14:24:00,0,False
2015-10-24 14:32:00,0,False
2015-10-24 14:40:00,0,False
2015-10-24 14:48:00,0,False
2015-10-24 14:56:00,0,False
2015-10-24 15:04:00,0,False
2015-10-24 15:12:00,0,False
2015-10-24 15:20:00,0,False
2015-10-24 15:28:00,0,False
2015-10-24 15:36:00,0,False
2015-10-24 15:44:00,0,False
2015-10-24 15:52:00,0,False
2015-10-24 16:00:00,0,False
2015-10-24 16:08:00,0,False
2015-10-24 16:16:00,0,False
2015-10-24 16:24:00,0,False
2015-10-24 16:32:00,0,False
2015-10-24 16:40:00,0,False
2015-10-24 16:48:00,0,False
2015-10-24 16:56:00,0,False
2015-10-24 17:04:00,50,False
2015-10-24 17:12:00,25,False
2015-10-24 17:20:00,25,False
2015-10-24 17:28:00,100,False
2015-10-24 17:36:00,0,False
2015-10-24 17:44:00,51,False
2015-10-24 17:52:00,26,False
2015-10-24 18:00:00,26,False
2015-10-24 18:08:00,26,False
2015-10-24 18:16:00,26,False
2015-10-24 18:24:00,0,False
2015-10-24 18:32:00,0,False
2015-10-24 18:40:00,26,False
2015-10-24 18:48:00,80,False
2015-10-24 18:56:00,27,False
2015-10-31 13:04:00,16,False
2015-10-31 13:12:00,16,False
2015-10-31 13:20:00,31,False
2015-10-31 13:28:00,0,False
2015-10-31 13:36:00,15,False
2015-10-31 13:44:00,0,False
2015-10-31 13:52:00,0,False
2015-10-31 14:00:00,15,False
2015-10-31 14:08:00,0,False
2015-10-31 14:16:00,30,False
2015-10-31 14:24:00,0,False
2015-10-31 14:32:00,15,False
2015-10-31 14:40:00,0,False
2015-10-31 14:48:00,29,False
2015-10-31 14:56:00,0,False
2015-10-31 15:04:00,0,False
2015-10-31 15:12:00,29,False
2015-10-31 15:20:00,14,False
2015-10-31 15:28:00,43,False
2015-10-31 15:36:00,43,False
2015-10-31 15:44:00,70,False
2015-10-31 15:52:00,28,False
2015-10-31 16:00:00,42,False
2015-10-31 16:08:00,43,False
2015-10-31 16:16:00,85,False
2015-10-31 16:24:00,28,False
2015-10-31 16:32:00,100,False
2015-10-31 16:40:00,72,False
2015-10-31 16:48:00,28,False
2015-10-31 16:56:00,42,False
2015-10-31 17:04:00,57,False
2015-10-31 17:12:00,87,False
2015-10-31 17:20:00,29,False
2015-10-31 17:28:00,73,False
2015-10-31 17:36:00,30,False
2015-10-31 17:44:00,0,False
2015-10-31 17:52:00,15,False
2015-10-31 18:00:00,45,False
2015-10-31 18:08:00,30,False
2015-10-31 18:16:00,15,False
2015-10-31 18:24:00,0,False
2015-10-31 18:32:00,46,False
2015-10-31 18:40:00,31,False
2015-10-31 18:48:00,16,False
2015-10-31 18:56:00,16,False
2015-11-07 13:04:00,11,False
2015-11-07 13:12:00,33,False
2015-11-07 13:20:00,11,False
2015-11-07 13:28:00,0,False
2015-11-07 13:36:00,21,False
2015-11-07 13:44:00,21,False
2015-11-07 13:52:00,32,False
2015-11-07 14:00:00,11,False
2015-11-07 14:08:00,0,False
2015-11-07 14:16:00,0,False
2015-11-07 14:24:00,10,False
2015-11-07 14:32:00,10,False
2015-11-07 14:40:00,0,False
2015-11-07 14:48:00,20,False
2015-11-07 14:56:00,31,False
2015-11-07 15:04:00,20,False
2015-11-07 15:12:00,81,False
2015-11-07 15:20:00,20,False
2015-11-07 15:28:00,20,False
2015-11-07 15:36:00,20,False
2015-11-07 15:44:00,50,False
2015-11-07 15:52:00,30,False
2015-11-07 16:00:00,69,False
2015-11-07 16:08:00,50,False
2015-11-07 16:16:00,40,False
2015-11-07 16:24:00,40,False
2015-11-07 16:32:00,100,False
2015-11-07 16:40:00,60,False
2015-11-07 16:48:00,59,False
2015-11-07 16:56:00,30,False
2015-11-07 17:04:00,30,False
2015-11-07 17:12:00,0,False
2015-11-07 17:20:00,50,False
2015-11-07 17:28:00,41,False
2015-11-07 17:36:00,41,False
2015-11-07 17:44:00,0,False
2015-11-07 17:52:00,20,False
2015-11-07 18:00:00,10,False
2015-11-07 18:08:00,31,False
2015-11-07 18:16:00,21,False
2015-11-07 18:24:00,11,False
2015-11-07 18:32:00,21,False
2015-11-07 18:40:00,11,False
2015-11-07 18:48:00,11,False
2015-11-07 18:56:00,33,False
2015-11-21 13:04:00,0,False
2015-11-21 13:12:00,0,False
2015-11-21 13:20:00,14,False
2015-11-21 13:28:00,7,False
2015-11-21 13:36:00,0,False
2015-11-21 13:44:00,7,False
2015-11-21 13:52:00,0,False
2015-11-21 14:00:00,0,False
2015-11-21 14:08:00,7,False
2015-11-21 14:16:00,7,False
2015-11-21 14:24:00,7,False
2015-11-21 14:32:00,7,False
2015-11-21 14:40:00,7,False
2015-11-21 14:48:00,26,False
2015-11-21 14:56:00,7,False
2015-11-21 15:04:00,13,False
2015-11-21 15:12:00,13,False
2015-11-21 15:20:00,19,False
2015-11-21 15:28:00,13,False
2015-11-21 15:36:00,13,False
2015-11-21 15:44:00,38,False
2015-11-21 15:52:00,25,False
2015-11-21 16:00:00,38,False
2015-11-21 16:08:00,19,False
2015-11-21 16:16:00,25,False
2015-11-21 16:24:00,45,False
2015-11-21 16:32:00,45,False
2015-11-21 16:40:00,58,False
2015-11-21 16:48:00,76,False
2015-11-21 16:56:00,44,False
2015-11-21 17:04:00,100,False
2015-11-21 17:12:00,25,False
2015-11-21 17:20:00,32,False
2015-11-21 17:28:00,32,False
2015-11-21 17:36:00,13,False
2015-11-21 17:44:00,19,False
2015-11-21 17:52:00,26,False
2015-11-21 18:00:00,0,False
2015-11-21 18:08:00,52,False
2015-11-21 18:16:00,26,False
2015-11-21 18:24:00,27,False
2015-11-21 18:32:00,27,False
2015-11-21 18:40:00,27,False
2015-11-21 18:48:00,35,False
2015-11-21 18:56:00,35,False
2015-11-28 15:04:00,4,False
2015-11-28 15:12:00,11,False
2015-11-28 15:20:00,4,False
2015-11-28 15:28:00,5,False
2015-11-28 15:36:00,5,False
2015-11-28 15:44:00,5,False
2015-11-28 15:52:00,9,False
2015-11-28 16:00:00,5,False
2015-11-28 16:08:00,9,False
2015-11-28 16:16:00,2,False
2015-11-28 16:24:00,5,False
2015-11-28 16:32:00,12,False
2015-11-28 16:40:00,2,False
2015-11-28 16:48:00,7,False
2015-11-28 16:56:00,0,False
2015-11-28 17:04:00,16,False
2015-11-28 17:12:00,11,False
2015-11-28 17:20:00,12,False
2015-11-28 17:28:00,20,False
2015-11-28 17:36:00,27,False
2015-11-28 17:44:00,40,False
2015-11-28 17:52:00,60,False
2015-11-28 18:00:00,61,False
2015-11-28 18:08:00,45,False
2015-11-28 18:16:00,31,False
2015-11-28 18:24:00,17,False
2015-11-28 18:32:00,28,False
2015-11-28 18:40:00,36,False
2015-11-28 18:48:00,55,False
2015-11-28 18:56:00,100,False
2015-11-28 19:04:00,31,False
2015-11-28 19:12:00,29,False
2015-11-28 19:20:00,23,False
2015-11-28 19:28:00,18,False
2015-11-28 19:36:00,8,False
2015-11-28 19:44:00,8,False
2015-11-28 19:52:00,32,False
2015-11-28 20:00:00,14,False
2015-11-28 20:08:00,4,False
2015-11-28 20:16:00,8,False
2015-11-28 20:24:00,8,False
2015-11-28 20:32:00,12,False
2015-11-28 20:40:00,2,False
2015-11-28 20:48:00,2,False
2015-11-28 20:56:00,6,False
2015-12-05 13:04:00,7,False
2015-12-05 13:12:00,7,False
2015-12-05 13:20:00,0,False
2015-12-05 13:28:00,0,False
2015-12-05 13:36:00,13,False
2015-12-05 13:44:00,6,False
2015-12-05 13:52:00,19,False
2015-12-05 14:00:00,6,False
2015-12-05 14:08:00,19,False
2015-12-05 14:16:00,12,False
2015-12-05 14:24:00,6,False
2015-12-05 14:32:00,6,False
2015-12-05 14:40:00,25,False
