date,West Ham Football Club,isPartial
2015-12-26 15:44:00,20,False
2015-12-26 15:52:00,10,False
2015-12-26 16:00:00,50,False
2015-12-26 16:08:00,50,False
2015-12-26 16:16:00,100,False
2015-12-26 16:24:00,70,False
2015-12-26 16:32:00,90,False
2015-12-26 16:40:00,30,False
2015-12-26 16:48:00,40,False
2015-12-26 16:56:00,59,False
2015-12-26 17:04:00,10,False
2015-12-26 17:12:00,20,False
2015-12-26 17:20:00,20,False
2015-12-26 17:28:00,10,False
2015-12-26 17:36:00,30,False
2015-12-26 17:44:00,0,False
2015-12-26 17:52:00,10,False
2015-12-26 18:00:00,0,False
2015-12-26 18:08:00,10,False
2015-12-26 18:16:00,31,False
2015-12-26 18:24:00,21,False
2015-12-26 18:32:00,42,False
2015-12-26 18:40:00,21,False
2015-12-26 18:48:00,21,False
2015-12-26 18:56:00,11,False
2015-12-28 15:04:00,0,False
2015-12-28 15:12:00,0,False
2015-12-28 15:20:00,14,False
2015-12-28 15:28:00,28,False
2015-12-28 15:36:00,41,False
2015-12-28 15:44:00,0,False
2015-12-28 15:52:00,27,False
2015-12-28 16:00:00,0,False
2015-12-28 16:08:00,55,False
2015-12-28 16:16:00,14,False
2015-12-28 16:24:00,41,False
2015-12-28 16:32:00,27,False
2015-12-28 16:40:00,14,False
2015-12-28 16:48:00,27,False
2015-12-28 16:56:00,27,False
2015-12-28 17:04:00,27,False
2015-12-28 17:12:00,41,False
2015-12-28 17:20:00,28,False
2015-12-28 17:28:00,14,False
2015-12-28 17:36:00,28,False
2015-12-28 17:44:00,69,False
2015-12-28 17:52:00,70,False
2015-12-28 18:00:00,70,False
2015-12-28 18:08:00,42,False
2015-12-28 18:16:00,42,False
2015-12-28 18:24:00,14,False
2015-12-28 18:32:00,43,False
2015-12-28 18:40:00,28,False
2015-12-28 18:48:00,100,False
2015-12-28 18:56:00,72,False
2015-12-28 19:04:00,87,False
2015-12-28 19:12:00,44,False
2015-12-28 19:20:00,72,False
2015-12-28 19:28:00,72,False
2015-12-28 19:36:00,44,False
2015-12-28 19:44:00,73,False
2015-12-28 19:52:00,59,False
2015-12-28 20:00:00,75,False
2015-12-28 20:08:00,45,False
2015-12-28 20:16:00,31,False
2015-12-28 20:24:00,45,False
2015-12-28 20:32:00,46,False
2015-12-28 20:40:00,31,False
2015-12-28 20:48:00,62,False
2015-12-28 20:56:00,16,False
2016-01-02 10:00:00,9,False
2016-01-02 10:08:00,19,False
2016-01-02 10:16:00,9,False
2016-01-02 10:24:00,9,False
2016-01-02 10:32:00,9,False
2016-01-02 10:40:00,0,False
2016-01-02 10:48:00,9,False
2016-01-02 10:56:00,0,False
2016-01-02 11:04:00,26,False
2016-01-02 11:12:00,17,False
2016-01-02 11:20:00,17,False
2016-01-02 11:28:00,17,False
2016-01-02 11:36:00,0,False
2016-01-02 11:44:00,8,False
2016-01-02 11:52:00,17,False
2016-01-02 12:00:00,8,False
2016-01-02 12:08:00,8,False
2016-01-02 12:16:00,16,False
2016-01-02 12:24:00,32,False
2016-01-02 12:32:00,24,False
2016-01-02 12:40:00,47,False
2016-01-02 12:48:00,47,False
2016-01-02 12:56:00,85,False
2016-01-02 13:04:00,30,False
2016-01-02 13:12:00,75,False
2016-01-02 13:20:00,60,False
2016-01-02 13:28:00,74,False
2016-01-02 13:36:00,44,False
2016-01-02 13:44:00,43,False
2016-01-02 13:52:00,57,False
2016-01-02 14:00:00,100,False
2016-01-02 14:08:00,56,False
2016-01-02 14:16:00,98,False
2016-01-02 14:24:00,49,False
2016-01-02 14:32:00,69,False
2016-01-02 14:40:00,88,False
2016-01-02 14:48:00,61,False
2016-01-02 14:56:00,60,False
2016-01-02 15:04:00,47,False
2016-01-02 15:12:00,67,False
2016-01-02 15:20:00,20,False
2016-01-02 15:28:00,40,False
2016-01-02 15:36:00,26,False
2016-01-02 15:44:00,26,False
2016-01-02 15:52:00,0,False
2016-01-02 16:00:00,33,False
2016-01-12 17:04:00,0,False
2016-01-12 17:12:00,34,False
2016-01-12 17:20:00,34,False
2016-01-12 17:28:00,17,False
2016-01-12 17:36:00,0,False
2016-01-12 17:44:00,17,False
2016-01-12 17:52:00,9,False
2016-01-12 18:00:00,9,False
2016-01-12 18:08:00,26,False
2016-01-12 18:16:00,0,False
2016-01-12 18:24:00,27,False
2016-01-12 18:32:00,18,False
2016-01-12 18:40:00,44,False
2016-01-12 18:48:00,0,False
2016-01-12 18:56:00,9,False
2016-01-12 19:04:00,18,False
2016-01-12 19:12:00,0,False
2016-01-12 19:20:00,0,False
2016-01-12 19:28:00,36,False
2016-01-12 19:36:00,27,False
2016-01-12 19:44:00,55,False
2016-01-12 19:52:00,27,False
2016-01-12 20:00:00,28,False
2016-01-12 20:08:00,75,False
2016-01-12 20:16:00,66,False
