date,Stoke City Football Club,isPartial
2015-10-03 18:16:00,0,False
2015-10-03 18:24:00,99,False
2015-10-03 18:32:00,50,False
2015-10-03 18:40:00,100,False
2015-10-03 18:48:00,50,False
2015-10-03 18:56:00,0,False
2015-10-19 18:00:00,28,False
2015-10-19 18:08:00,0,False
2015-10-19 18:16:00,0,False
2015-10-19 18:24:00,0,False
2015-10-19 18:32:00,27,False
2015-10-19 18:40:00,0,False
2015-10-19 18:48:00,28,False
2015-10-19 18:56:00,0,False
2015-10-19 19:04:00,0,False
2015-10-19 19:12:00,58,False
2015-10-19 19:20:00,29,False
2015-10-19 19:28:00,29,False
2015-10-19 19:36:00,0,False
2015-10-19 19:44:00,30,False
2015-10-19 19:52:00,61,False
2015-10-19 20:00:00,62,False
2015-10-19 20:08:00,0,False
2015-10-19 20:16:00,0,False
2015-10-19 20:24:00,64,False
2015-10-19 20:32:00,65,False
2015-10-19 20:40:00,100,False
2015-10-19 20:48:00,0,False
2015-10-19 20:56:00,35,False
2015-10-19 21:04:00,0,False
2015-10-19 21:12:00,37,False
2015-10-19 21:20:00,38,False
2015-10-19 21:28:00,38,False
2015-10-19 21:36:00,0,False
2015-10-19 21:44:00,0,False
2015-10-19 21:52:00,0,False
2015-10-19 22:00:00,43,False
2015-10-19 22:08:00,0,False
2015-10-19 22:16:00,0,False
2015-10-19 22:24:00,0,False
2015-10-19 22:32:00,46,False
2015-10-19 22:40:00,0,False
2015-10-19 22:48:00,0,False
2015-10-19 22:56:00,0,False
2015-10-19 23:04:00,0,False
2015-10-19 23:12:00,0,False
2015-10-19 23:20:00,48,False
2015-10-19 23:28:00,0,False
2015-10-19 23:36:00,0,False
2015-10-19 23:44:00,0,False
2015-10-19 23:52:00,0,False
2015-10-20 00:00:00,0,False
2015-10-24 13:04:00,0,False
2015-10-24 13:12:00,0,False
2015-10-24 13:20:00,0,False
2015-10-24 13:28:00,0,False
2015-10-24 13:36:00,0,False
2015-10-24 13:44:00,0,False
2015-10-24 13:52:00,0,False
2015-10-24 14:00:00,0,False
2015-10-24 14:08:00,0,False
2015-10-24 14:16:00,0,False
2015-10-24 14:24:00,0,False
2015-10-24 14:32:00,0,False
2015-10-24 14:40:00,0,False
2015-10-24 14:48:00,0,False
2015-10-24 14:56:00,0,False
2015-10-24 15:04:00,0,False
2015-10-24 15:12:00,0,False
2015-10-24 15:20:00,0,False
2015-10-24 15:28:00,0,False
2015-10-24 15:36:00,0,False
2015-10-24 15:44:00,0,False
2015-10-24 15:52:00,0,False
2015-10-24 16:00:00,0,False
2015-10-24 16:08:00,0,False
2015-10-24 16:16:00,0,False
2015-10-24 16:24:00,0,False
2015-10-24 16:32:00,0,False
2015-10-24 16:40:00,0,False
2015-10-24 16:48:00,0,False
2015-10-24 16:56:00,0,False
2015-10-24 17:04:00,0,False
2015-10-24 17:12:00,0,False
2015-10-24 17:20:00,0,False
2015-10-24 17:28:00,0,False
2015-10-24 17:36:00,0,False
2015-10-24 17:44:00,0,False
2015-10-24 17:52:00,0,False
2015-10-24 18:00:00,96,False
2015-10-24 18:08:00,0,False
2015-10-24 18:16:00,0,False
2015-10-24 18:24:00,0,False
2015-10-24 18:32:00,0,False
2015-10-24 18:40:00,98,False
2015-10-24 18:48:00,99,False
2015-10-24 18:56:00,100,False
2015-10-31 13:04:00,100,False
2015-10-31 13:12:00,0,False
2015-10-31 13:20:00,0,False
2015-10-31 13:28:00,49,False
2015-10-31 13:36:00,0,False
2015-10-31 13:44:00,0,False
2015-10-31 13:52:00,0,False
2015-10-31 14:00:00,0,False
2015-10-31 14:08:00,0,False
2015-10-31 14:16:00,47,False
2015-10-31 14:24:00,0,False
2015-10-31 14:32:00,0,False
2015-10-31 14:40:00,46,False
2015-10-31 14:48:00,0,False
2015-10-31 14:56:00,0,False
2015-10-31 15:04:00,0,False
2015-10-31 15:12:00,0,False
2015-10-31 15:20:00,0,False
2015-10-31 15:28:00,45,False
2015-10-31 15:36:00,0,False
2015-10-31 15:44:00,45,False
2015-10-31 15:52:00,0,False
2015-10-31 16:00:00,0,False
2015-10-31 16:08:00,0,False
2015-10-31 16:16:00,0,False
2015-10-31 16:24:00,0,False
2015-10-31 16:32:00,0,False
2015-10-31 16:40:00,0,False
2015-10-31 16:48:00,0,False
2015-10-31 16:56:00,0,False
2015-10-31 17:04:00,46,False
2015-10-31 17:12:00,0,False
2015-10-31 17:20:00,0,False
2015-10-31 17:28:00,47,False
2015-10-31 17:36:00,0,False
2015-10-31 17:44:00,95,False
2015-10-31 17:52:00,0,False
2015-10-31 18:00:00,0,False
2015-10-31 18:08:00,48,False
2015-10-31 18:16:00,0,False
2015-10-31 18:24:00,49,False
2015-10-31 18:32:00,0,False
2015-10-31 18:40:00,0,False
2015-10-31 18:48:00,0,False
2015-10-31 18:56:00,0,False
2015-11-07 15:04:00,12,False
2015-11-07 15:12:00,12,False
2015-11-07 15:20:00,12,False
2015-11-07 15:28:00,0,False
2015-11-07 15:36:00,35,False
2015-11-07 15:44:00,12,False
2015-11-07 15:52:00,0,False
2015-11-07 16:00:00,0,False
2015-11-07 16:08:00,23,False
2015-11-07 16:16:00,0,False
2015-11-07 16:24:00,0,False
2015-11-07 16:32:00,0,False
2015-11-07 16:40:00,0,False
2015-11-07 16:48:00,12,False
2015-11-07 16:56:00,23,False
2015-11-07 17:04:00,0,False
2015-11-07 17:12:00,12,False
2015-11-07 17:20:00,35,False
2015-11-07 17:28:00,24,False
2015-11-07 17:36:00,36,False
2015-11-07 17:44:00,36,False
2015-11-07 17:52:00,12,False
2015-11-07 18:00:00,36,False
2015-11-07 18:08:00,49,False
2015-11-07 18:16:00,61,False
2015-11-07 18:24:00,0,False
2015-11-07 18:32:00,75,False
2015-11-07 18:40:00,100,False
2015-11-07 18:48:00,38,False
2015-11-07 18:56:00,13,False
2015-11-07 19:04:00,26,False
2015-11-07 19:12:00,64,False
2015-11-07 19:20:00,26,False
2015-11-07 19:28:00,39,False
2015-11-07 19:36:00,52,False
2015-11-07 19:44:00,13,False
2015-11-07 19:52:00,0,False
2015-11-07 20:00:00,13,False
2015-11-07 20:08:00,0,False
2015-11-07 20:16:00,0,False
2015-11-07 20:24:00,0,False
2015-11-07 20:32:00,27,False
2015-11-07 20:40:00,0,False
2015-11-07 20:48:00,14,False
2015-11-07 20:56:00,28,False
2015-11-21 13:04:00,0,False
2015-11-21 13:12:00,0,False
2015-11-21 13:20:00,0,False
2015-11-21 13:28:00,0,False
2015-11-21 13:36:00,0,False
2015-11-21 13:44:00,0,False
2015-11-21 13:52:00,51,False
2015-11-21 14:00:00,0,False
2015-11-21 14:08:00,0,False
2015-11-21 14:16:00,0,False
2015-11-21 14:24:00,100,False
2015-11-21 14:32:00,50,False
2015-11-21 14:40:00,0,False
2015-11-21 14:48:00,49,False
2015-11-21 14:56:00,0,False
2015-11-21 15:04:00,0,False
2015-11-21 15:12:00,0,False
2015-11-21 15:20:00,48,False
2015-11-21 15:28:00,0,False
2015-11-21 15:36:00,0,False
2015-11-21 15:44:00,0,False
2015-11-21 15:52:00,47,False
2015-11-21 16:00:00,0,False
2015-11-21 16:08:00,0,False
2015-11-21 16:16:00,47,False
2015-11-21 16:24:00,0,False
2015-11-21 16:32:00,0,False
2015-11-21 16:40:00,0,False
2015-11-21 16:48:00,0,False
2015-11-21 16:56:00,0,False
2015-11-21 17:04:00,0,False
2015-11-21 17:12:00,47,False
2015-11-21 17:20:00,0,False
2015-11-21 17:28:00,0,False
2015-11-21 17:36:00,48,False
2015-11-21 17:44:00,48,False
2015-11-21 17:52:00,0,False
2015-11-21 18:00:00,0,False
2015-11-21 18:08:00,0,False
