date,Southampton Football Club,isPartial
2015-10-25 17:04:00,20,False
2015-10-25 17:12:00,20,False
2015-10-25 17:20:00,10,False
2015-10-25 17:28:00,70,False
2015-10-25 17:36:00,20,False
2015-10-25 17:44:00,80,False
2015-10-25 17:52:00,30,False
2015-10-25 18:00:00,100,False
2015-10-25 18:08:00,30,False
2015-10-25 18:16:00,41,False
2015-10-25 18:24:00,41,False
2015-10-25 18:32:00,10,False
2015-10-25 18:40:00,10,False
2015-10-25 18:48:00,0,False
2015-10-25 18:56:00,41,False
2015-10-25 19:04:00,31,False
2015-10-25 19:12:00,42,False
2015-10-25 19:20:00,21,False
2015-10-25 19:28:00,11,False
2015-10-25 19:36:00,0,False
2015-10-25 19:44:00,11,False
2015-10-25 19:52:00,11,False
2015-10-25 20:00:00,11,False
2015-11-01 14:00:00,30,False
2015-11-01 14:08:00,10,False
2015-11-01 14:16:00,10,False
2015-11-01 14:24:00,19,False
2015-11-01 14:32:00,0,False
2015-11-01 14:40:00,19,False
2015-11-01 14:48:00,38,False
2015-11-01 14:56:00,47,False
2015-11-01 15:04:00,19,False
2015-11-01 15:12:00,47,False
2015-11-01 15:20:00,0,False
2015-11-01 15:28:00,0,False
2015-11-01 15:36:00,19,False
2015-11-01 15:44:00,37,False
2015-11-01 15:52:00,64,False
2015-11-01 16:00:00,45,False
2015-11-01 16:08:00,27,False
2015-11-01 16:16:00,100,False
2015-11-01 16:24:00,63,False
2015-11-01 16:32:00,73,False
2015-11-01 16:40:00,73,False
2015-11-01 16:48:00,18,False
2015-11-01 16:56:00,54,False
2015-11-01 17:04:00,27,False
2015-11-01 17:12:00,36,False
2015-11-01 17:20:00,36,False
2015-11-01 17:28:00,72,False
2015-11-01 17:36:00,63,False
2015-11-01 17:44:00,54,False
2015-11-01 17:52:00,54,False
2015-11-01 18:00:00,55,False
2015-11-01 18:08:00,37,False
2015-11-01 18:16:00,18,False
2015-11-01 18:24:00,18,False
2015-11-01 18:32:00,28,False
2015-11-01 18:40:00,28,False
2015-11-01 18:48:00,28,False
2015-11-01 18:56:00,28,False
2015-11-01 19:04:00,28,False
2015-11-01 19:12:00,28,False
2015-11-01 19:20:00,19,False
2015-11-01 19:28:00,19,False
2015-11-01 19:36:00,0,False
2015-11-01 19:44:00,10,False
2015-11-01 19:52:00,10,False
2015-11-01 20:00:00,10,False
2015-11-07 13:04:00,21,False
2015-11-07 13:12:00,63,False
2015-11-07 13:20:00,42,False
2015-11-07 13:28:00,21,False
2015-11-07 13:36:00,0,False
2015-11-07 13:44:00,41,False
2015-11-07 13:52:00,20,False
2015-11-07 14:00:00,20,False
2015-11-07 14:08:00,40,False
2015-11-07 14:16:00,0,False
2015-11-07 14:24:00,40,False
2015-11-07 14:32:00,60,False
2015-11-07 14:40:00,79,False
2015-11-07 14:48:00,39,False
2015-11-07 14:56:00,20,False
2015-11-07 15:04:00,20,False
2015-11-07 15:12:00,19,False
2015-11-07 15:20:00,19,False
2015-11-07 15:28:00,38,False
2015-11-07 15:36:00,39,False
2015-11-07 15:44:00,77,False
2015-11-07 15:52:00,0,False
2015-11-07 16:00:00,19,False
2015-11-07 16:08:00,57,False
2015-11-07 16:16:00,38,False
2015-11-07 16:24:00,0,False
2015-11-07 16:32:00,19,False
2015-11-07 16:40:00,58,False
2015-11-07 16:48:00,95,False
2015-11-07 16:56:00,76,False
2015-11-07 17:04:00,38,False
2015-11-07 17:12:00,38,False
2015-11-07 17:20:00,58,False
2015-11-07 17:28:00,19,False
2015-11-07 17:36:00,39,False
2015-11-07 17:44:00,58,False
2015-11-07 17:52:00,39,False
2015-11-07 18:00:00,20,False
2015-11-07 18:08:00,80,False
2015-11-07 18:16:00,100,False
2015-11-07 18:24:00,20,False
2015-11-07 18:32:00,20,False
2015-11-07 18:40:00,0,False
2015-11-07 18:48:00,41,False
2015-11-07 18:56:00,42,False
2015-11-21 13:04:00,0,False
2015-11-21 13:12:00,94,False
2015-11-21 13:20:00,19,False
2015-11-21 13:28:00,37,False
2015-11-21 13:36:00,0,False
2015-11-21 13:44:00,18,False
2015-11-21 13:52:00,36,False
2015-11-21 14:00:00,18,False
2015-11-21 14:08:00,18,False
2015-11-21 14:16:00,18,False
2015-11-21 14:24:00,0,False
2015-11-21 14:32:00,17,False
2015-11-21 14:40:00,35,False
2015-11-21 14:48:00,34,False
2015-11-21 14:56:00,34,False
2015-11-21 15:04:00,34,False
2015-11-21 15:12:00,17,False
2015-11-21 15:20:00,51,False
2015-11-21 15:28:00,34,False
2015-11-21 15:36:00,17,False
2015-11-21 15:44:00,67,False
2015-11-21 15:52:00,50,False
2015-11-21 16:00:00,34,False
2015-11-21 16:08:00,50,False
2015-11-21 16:16:00,33,False
2015-11-21 16:24:00,33,False
2015-11-21 16:32:00,84,False
2015-11-21 16:40:00,34,False
2015-11-21 16:48:00,50,False
2015-11-21 16:56:00,49,False
2015-11-21 17:04:00,33,False
2015-11-21 17:12:00,33,False
2015-11-21 17:20:00,33,False
2015-11-21 17:28:00,100,False
2015-11-21 17:36:00,51,False
2015-11-21 17:44:00,68,False
2015-11-21 17:52:00,17,False
2015-11-21 18:00:00,35,False
2015-11-21 18:08:00,0,False
2015-11-21 18:16:00,35,False
2015-11-21 18:24:00,0,False
2015-11-21 18:32:00,18,False
2015-11-21 18:40:00,18,False
2015-11-21 18:48:00,18,False
2015-11-21 18:56:00,18,False
2015-11-28 13:04:00,0,False
2015-11-28 13:12:00,82,False
2015-11-28 13:20:00,0,False
2015-11-28 13:28:00,27,False
2015-11-28 13:36:00,27,False
2015-11-28 13:44:00,53,False
2015-11-28 13:52:00,26,False
2015-11-28 14:00:00,0,False
2015-11-28 14:08:00,52,False
2015-11-28 14:16:00,77,False
2015-11-28 14:24:00,25,False
2015-11-28 14:32:00,25,False
2015-11-28 14:40:00,51,False
2015-11-28 14:48:00,100,False
2015-11-28 14:56:00,75,False
2015-11-28 15:04:00,100,False
2015-11-28 15:12:00,25,False
2015-11-28 15:20:00,49,False
2015-11-28 15:28:00,49,False
2015-11-28 15:36:00,49,False
2015-11-28 15:44:00,24,False
2015-11-28 15:52:00,48,False
2015-11-28 16:00:00,73,False
2015-11-28 16:08:00,49,False
2015-11-28 16:16:00,0,False
2015-11-28 16:24:00,24,False
2015-11-28 16:32:00,24,False
2015-11-28 16:40:00,97,False
2015-11-28 16:48:00,73,False
2015-11-28 16:56:00,48,False
2015-11-28 17:04:00,97,False
2015-11-28 17:12:00,0,False
2015-11-28 17:20:00,49,False
2015-11-28 17:28:00,0,False
2015-11-28 17:36:00,50,False
2015-11-28 17:44:00,25,False
2015-11-28 17:52:00,25,False
2015-11-28 18:00:00,50,False
2015-11-28 18:08:00,25,False
2015-11-28 18:16:00,0,False
2015-11-28 18:24:00,51,False
2015-11-28 18:32:00,77,False
2015-11-28 18:40:00,0,False
2015-11-28 18:48:00,52,False
2015-11-28 18:56:00,26,False
2015-12-05 13:04:00,56,False
2015-12-05 13:12:00,0,False
2015-12-05 13:20:00,0,False
2015-12-05 13:28:00,36,False
2015-12-05 13:36:00,0,False
2015-12-05 13:44:00,36,False
