date,Newcastle United Football Club,Newcastle,isPartial
2016-01-02 21:20:00,0,27,False
2016-01-02 21:28:00,0,28,False
2016-01-02 21:36:00,0,26,False
2016-01-02 21:44:00,0,28,False
2016-01-02 21:52:00,0,29,False
2016-01-02 22:00:00,0,29,False
2016-01-02 22:08:00,0,31,False
2016-01-02 22:16:00,0,30,False
2016-01-02 22:24:00,0,30,False
2016-01-02 22:32:00,0,28,False
2016-01-02 22:40:00,0,31,False
2016-01-02 22:48:00,0,31,False
2016-01-02 22:56:00,0,44,False
2016-01-12 01:04:00,0,13,False
2016-01-12 01:12:00,0,14,False
2016-01-12 01:20:00,0,14,False
2016-01-12 01:28:00,0,14,False
2016-01-12 01:36:00,0,13,False
2016-01-12 01:44:00,0,14,False
2016-01-12 01:52:00,0,13,False
2016-01-12 02:00:00,0,13,False
2016-01-12 02:08:00,0,12,False
2016-01-12 02:16:00,0,13,False
2016-01-12 02:24:00,0,14,False
2016-01-12 02:32:00,0,14,False
2016-01-12 02:40:00,0,15,False
2016-01-12 02:48:00,0,14,False
2016-01-12 02:56:00,0,14,False
2016-01-12 03:04:00,0,14,False
2016-01-12 03:12:00,0,13,False
2016-01-12 03:20:00,0,13,False
2016-01-12 03:28:00,0,13,False
2016-01-12 03:36:00,0,14,False
2016-01-12 03:44:00,0,14,False
2016-01-12 03:52:00,0,13,False
2016-01-12 04:00:00,0,15,False
2016-01-12 04:08:00,0,15,False
2016-01-12 04:16:00,0,15,False
2016-01-12 04:24:00,0,15,False
2016-01-12 04:32:00,0,14,False
2016-01-12 04:40:00,0,15,False
2016-01-12 04:48:00,0,16,False
2016-01-12 04:56:00,0,16,False
2016-01-12 05:04:00,0,15,False
2016-01-12 05:12:00,0,16,False
2016-01-12 05:20:00,0,18,False
2016-01-12 05:28:00,0,16,False
2016-01-12 05:36:00,0,16,False
2016-01-12 05:44:00,0,16,False
2016-01-12 05:52:00,0,15,False
2016-01-12 06:00:00,0,14,False
2016-01-12 06:08:00,0,16,False
2016-01-12 06:16:00,0,16,False
2016-01-12 06:24:00,0,16,False
2016-01-12 06:32:00,0,16,False
2016-01-12 06:40:00,0,15,False
2016-01-12 06:48:00,0,17,False
2016-01-12 06:56:00,0,16,False
2016-01-12 07:04:00,0,15,False
2016-01-12 07:12:00,0,18,False
2016-01-12 07:20:00,0,18,False
2016-01-12 07:28:00,0,19,False
2016-01-12 07:36:00,0,19,False
2016-01-12 07:44:00,0,18,False
2016-01-12 07:52:00,0,19,False
2016-01-12 08:00:00,0,19,False
2016-01-12 08:08:00,0,19,False
2016-01-12 08:16:00,0,20,False
2016-01-12 08:24:00,0,21,False
2016-01-12 08:32:00,0,21,False
2016-01-12 08:40:00,0,22,False
2016-01-12 08:48:00,0,22,False
2016-01-12 08:56:00,0,23,False
2016-01-12 09:04:00,0,25,False
2016-01-12 09:12:00,0,24,False
2016-01-12 09:20:00,0,25,False
2016-01-12 09:28:00,0,25,False
2016-01-12 09:36:00,0,26,False
2016-01-12 09:44:00,0,24,False
2016-01-12 09:52:00,0,25,False
2016-01-12 10:00:00,0,25,False
2016-01-12 10:08:00,0,27,False
2016-01-12 10:16:00,0,25,False
2016-01-12 10:24:00,0,26,False
2016-01-12 10:32:00,0,27,False
2016-01-12 10:40:00,0,26,False
2016-01-12 10:48:00,0,25,False
2016-01-12 10:56:00,0,25,False
2016-01-12 11:04:00,0,25,False
2016-01-12 11:12:00,0,24,False
2016-01-12 11:20:00,0,25,False
2016-01-12 11:28:00,0,26,False
2016-01-12 11:36:00,0,25,False
2016-01-12 11:44:00,0,24,False
2016-01-12 11:52:00,0,24,False
2016-01-12 12:00:00,0,24,False
2016-01-12 12:08:00,0,25,False
2016-01-12 12:16:00,0,25,False
2016-01-12 12:24:00,0,25,False
2016-01-12 12:32:00,0,23,False
2016-01-12 12:40:00,0,23,False
2016-01-12 12:48:00,0,23,False
2016-01-12 12:56:00,0,22,False
2016-01-12 13:04:00,0,22,False
2016-01-12 13:12:00,0,22,False
2016-01-12 13:20:00,0,22,False
2016-01-12 13:28:00,0,21,False
2016-01-12 13:36:00,0,21,False
2016-01-12 13:44:00,0,21,False
2016-01-12 13:52:00,0,22,False
2016-01-12 14:00:00,0,21,False
2016-01-12 14:08:00,0,19,False
2016-01-12 14:16:00,0,19,False
2016-01-12 14:24:00,0,20,False
2016-01-12 14:32:00,0,20,False
2016-01-12 14:40:00,0,20,False
2016-01-12 14:48:00,0,19,False
2016-01-12 14:56:00,0,20,False
2016-01-12 15:04:00,0,20,False
2016-01-12 15:12:00,0,20,False
2016-01-12 15:20:00,0,20,False
2016-01-12 15:28:00,0,20,False
2016-01-12 15:36:00,0,20,False
2016-01-12 15:44:00,0,21,False
2016-01-12 15:52:00,0,21,False
2016-01-12 16:00:00,0,21,False
2016-01-12 16:08:00,0,21,False
2016-01-12 16:16:00,0,21,False
2016-01-12 16:24:00,0,22,False
2016-01-12 16:32:00,0,23,False
2016-01-12 16:40:00,0,22,False
2016-01-12 16:48:00,0,23,False
2016-01-12 16:56:00,0,22,False
2016-01-12 17:04:00,0,22,False
2016-01-12 17:12:00,0,23,False
2016-01-12 17:20:00,0,23,False
2016-01-12 17:28:00,0,24,False
2016-01-12 17:36:00,0,23,False
2016-01-12 17:44:00,0,24,False
2016-01-12 17:52:00,0,26,False
2016-01-12 18:00:00,0,27,False
2016-01-12 18:08:00,0,28,False
2016-01-12 18:16:00,0,28,False
2016-01-12 18:24:00,0,29,False
2016-01-12 18:32:00,0,30,False
2016-01-12 18:40:00,0,31,False
2016-01-12 18:48:00,0,33,False
2016-01-12 18:56:00,0,37,False
2016-01-12 19:04:00,0,38,False
2016-01-12 19:12:00,0,40,False
2016-01-12 19:20:00,0,46,False
2016-01-12 19:28:00,0,53,False
2016-01-12 19:36:00,0,70,False
2016-01-12 19:44:00,0,100,False
2016-01-12 19:52:00,0,76,False
2016-01-12 20:00:00,0,73,False
2016-01-12 20:08:00,0,68,False
2016-01-12 20:16:00,0,66,False
2016-01-12 20:24:00,0,73,False
2016-01-12 20:32:00,0,66,False
2016-01-12 20:40:00,0,63,False
2016-01-12 20:48:00,0,66,False
2016-01-12 20:56:00,0,72,False
2016-01-12 21:04:00,0,70,False
2016-01-12 21:12:00,0,88,False
2016-01-12 21:20:00,0,82,False
2016-01-12 21:28:00,0,87,False
2016-01-12 21:36:00,0,92,False
2016-01-12 21:44:00,0,76,False
2016-01-12 21:52:00,0,61,False
2016-01-12 22:00:00,0,62,False
2016-01-12 22:08:00,0,55,False
